station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	10-14-2013	76   	Published			09-07-2017 18:47
14171000	10-15-2013	71   	Published			09-07-2017 18:47
14171000	10-16-2013	67   	Published			09-07-2017 18:47
14171000	10-17-2013	65   	Published			09-07-2017 18:47
14171000	10-18-2013	62   	Published			09-07-2017 18:47
14171000	10-19-2013	60   	Published			09-07-2017 18:47
14171000	10-20-2013	58   	Published			09-07-2017 18:47
14171000	10-21-2013	57   	Published			09-07-2017 18:47
14171000	10-22-2013	56   	Published			09-07-2017 18:47
14171000	10-23-2013	55   	Raw			09-07-2017 18:47
14171000	10-24-2013	54   	Raw			09-07-2017 18:47
14171000	10-25-2013	54   	Raw			09-07-2017 18:47
14171000	10-26-2013	53   	Raw			09-07-2017 18:47
14171000	10-27-2013	52   	Raw			09-07-2017 18:47
14171000	10-28-2013	52   	Raw			09-07-2017 18:47
14171000	10-29-2013	52   	Raw			09-07-2017 18:47
14171000	10-30-2013	51   	Raw			09-07-2017 18:47
14171000	10-31-2013	49   	Raw			09-07-2017 18:47
14171000	11-01-2013	49   	Raw			09-07-2017 18:47
14171000	11-02-2013	55   	Raw			09-07-2017 18:47
14171000	11-03-2013	81   	Raw			09-07-2017 18:47
14171000	11-04-2013	91   	Raw			09-07-2017 18:47
14171000	11-05-2013	97   	Raw			09-07-2017 18:47
14171000	11-06-2013	131   	Raw			09-07-2017 18:47
14171000	11-07-2013	159   	Raw			09-07-2017 18:47
14171000	11-08-2013	208   	Raw			09-07-2017 18:47
14171000	11-09-2013	188   	Raw			09-07-2017 18:47
14171000	11-10-2013	155   	Raw			09-07-2017 18:47
14171000	11-11-2013	132   	Raw			09-07-2017 18:47
14171000	11-12-2013	135   	Raw			09-07-2017 18:47
14171000	11-13-2013	133   	Raw			09-07-2017 18:47
14171000	11-14-2013	119   	Raw			09-07-2017 18:47
14171000	11-15-2013	119   	Raw			09-07-2017 18:47
14171000	11-16-2013	143   	Raw			09-07-2017 18:47
14171000	11-17-2013	196   	Raw			09-07-2017 18:47
14171000	11-18-2013	200   	Raw			09-07-2017 18:47
14171000	11-19-2013	337   	Raw			09-07-2017 18:47
14171000	11-20-2013	343   	Raw			09-07-2017 18:47
14171000	11-21-2013	288   	Raw			09-07-2017 18:47
14171000	11-22-2013	240   	Raw			09-07-2017 18:47
14171000	11-23-2013	205   	Raw			09-07-2017 18:47
14171000	11-24-2013	179   	Raw			09-07-2017 18:47
14171000	11-25-2013	157   	Raw			09-07-2017 18:47
14171000	11-26-2013	141   	Raw			09-07-2017 18:47
14171000	11-27-2013	130   	Raw			09-07-2017 18:47
14171000	11-28-2013	121   	Raw			09-07-2017 18:47
14171000	11-29-2013	111   	Raw			09-07-2017 18:47
14171000	11-30-2013	104   	Raw			09-07-2017 18:47
14171000	12-01-2013	103   	Raw			09-07-2017 18:47
14171000	12-02-2013	647   	Raw			09-07-2017 18:47
14171000	12-03-2013	753   	Raw			09-07-2017 18:47
14171000	12-04-2013	508   	Raw			09-07-2017 18:47
14171000	12-05-2013	377   	Raw			09-07-2017 18:47
14171000	12-06-2013	318   	Raw			09-07-2017 18:47
14171000	12-07-2013	268   	Raw			09-07-2017 18:47
14171000	12-08-2013	239   	Raw			09-07-2017 18:47
14171000	12-09-2013	242   	Raw			09-07-2017 18:47
14171000	12-10-2013	207   	Raw			09-07-2017 18:47
14171000	12-11-2013	192   	Raw			09-07-2017 18:47
14171000	12-12-2013	176   	Raw			09-07-2017 18:47
14171000	12-13-2013	180   	Raw			09-07-2017 18:47
14171000	12-14-2013	193   	Raw			09-07-2017 18:47
14171000	12-15-2013	187   	Raw			09-07-2017 18:47
14171000	12-16-2013	177   	Raw			09-07-2017 18:47
14171000	12-17-2013	166   	Raw			09-07-2017 18:47
14171000	12-18-2013	155   	Raw			09-07-2017 18:47
14171000	12-19-2013	148   	Raw			09-07-2017 18:47
14171000	12-20-2013	141   	Raw			09-07-2017 18:47
14171000	12-21-2013	178   	Raw			09-07-2017 18:47
14171000	12-22-2013	199   	Raw			09-07-2017 18:47
14171000	12-23-2013	185   	Raw			09-07-2017 18:47
14171000	12-24-2013	185   	Raw			09-07-2017 18:47
14171000	12-25-2013	178   	Raw			09-07-2017 18:47
14171000	12-26-2013	170   	Raw			09-07-2017 18:47
14171000	12-27-2013	163   	Raw			09-07-2017 18:47
14171000	12-28-2013	154   	Raw			09-07-2017 18:47
14171000	12-29-2013	146   	Raw			09-07-2017 18:47
14171000	12-30-2013	140   	Raw			09-07-2017 18:47
14171000	12-31-2013	134   	Raw			09-07-2017 18:47
14171000	01-01-2014	128   	Raw			09-07-2017 18:47
14171000	01-02-2014	122   	Raw			09-07-2017 18:47
14171000	01-03-2014	122   	Raw			09-07-2017 18:47
14171000	01-04-2014	119   	Raw			09-07-2017 18:47
14171000	01-05-2014	111   	Raw			09-07-2017 18:47
14171000	01-06-2014	107   	Raw			09-07-2017 18:47
14171000	01-07-2014	113   	Raw			09-07-2017 18:47
14171000	01-08-2014	130   	Raw			09-07-2017 18:47
14171000	01-09-2014	302   	Raw			09-07-2017 18:47
14171000	01-10-2014	324   	Raw			09-07-2017 18:47
14171000	01-11-2014	493   	Raw			09-07-2017 18:47
14171000	01-12-2014	1050   	Raw			09-07-2017 18:47
14171000	01-13-2014	1290   	Raw			09-07-2017 18:47
14171000	01-14-2014	1030   	Raw			09-07-2017 18:47
14171000	01-15-2014	750   	Raw			09-07-2017 18:47
14171000	01-16-2014	580   	Raw			09-07-2017 18:47
14171000	01-17-2014	475   	Raw			09-07-2017 18:47
14171000	01-18-2014	401   	Raw			09-07-2017 18:47
14171000	01-19-2014	348   	Raw			09-07-2017 18:47
14171000	01-20-2014	307   	Raw			09-07-2017 18:47
14171000	01-21-2014	274   	Raw			09-07-2017 18:47
14171000	01-22-2014	249   	Raw			09-07-2017 18:47
14171000	01-23-2014	229   	Raw			09-07-2017 18:47
14171000	01-24-2014	212   	Raw			09-07-2017 18:47
14171000	01-25-2014	196   	Raw			09-07-2017 18:47
14171000	01-26-2014	184   	Raw			09-07-2017 18:47
14171000	01-27-2014	175   	Raw			09-07-2017 18:47
14171000	01-28-2014	183   	Raw			09-07-2017 18:47
14171000	01-29-2014	252   	Raw			09-07-2017 18:47
14171000	01-30-2014	276   	Raw			09-07-2017 18:47
14171000	01-31-2014	241   	Raw			09-07-2017 18:47
14171000	02-01-2014	229   	Raw			09-07-2017 18:47
14171000	02-02-2014	215   	Raw			09-07-2017 18:47
14171000	02-03-2014	204   	Raw			09-07-2017 18:47
14171000	02-04-2014	196   	Raw			09-07-2017 18:47
14171000	02-05-2014	183   	Raw			09-07-2017 18:47
14171000	02-06-2014	176   	Raw			09-07-2017 18:47
14171000	02-07-2014	180   	Raw			09-07-2017 18:47
14171000	02-08-2014	203   	Raw			09-07-2017 18:47
14171000	02-09-2014	271   	Raw			09-07-2017 18:47
14171000	02-10-2014	330   	Raw			09-07-2017 18:47
14171000	02-11-2014	1010   	Raw			09-07-2017 18:47
14171000	02-12-2014	3600   	Raw			09-07-2017 18:47
14171000	02-13-2014	3370   	Raw			09-07-2017 18:47
14171000	02-14-2014	3780   	Raw			09-07-2017 18:47
14171000	02-15-2014	3420   	Raw			09-07-2017 18:47
14171000	02-16-2014	3430   	Raw			09-07-2017 18:47
14171000	02-17-2014	2740   	Raw			09-07-2017 18:47
14171000	02-18-2014	2880   	Raw			09-07-2017 18:47
14171000	02-19-2014	3280   	Raw			09-07-2017 18:47
14171000	02-20-2014	2370   	Raw			09-07-2017 18:47
14171000	02-21-2014	1940   	Raw			09-07-2017 18:47
14171000	02-22-2014	1510   	Raw			09-07-2017 18:47
14171000	02-23-2014	1210   	Raw			09-07-2017 18:47
14171000	02-24-2014	1050   	Raw			09-07-2017 18:47
14171000	02-25-2014	881   	Raw			09-07-2017 18:47
14171000	02-26-2014	742   	Raw			09-07-2017 18:47
14171000	02-27-2014	657   	Raw			09-07-2017 18:47
14171000	02-28-2014	590   	Raw			09-07-2017 18:47
14171000	03-01-2014	528   	Raw			09-07-2017 18:47
14171000	03-02-2014	552   	Raw			09-07-2017 18:47
14171000	03-03-2014	796   	Raw			09-07-2017 18:47
14171000	03-04-2014	829   	Raw			09-07-2017 18:47
14171000	03-05-2014	1430   	Raw			09-07-2017 18:47
14171000	03-06-2014	3140   	Raw			09-07-2017 18:47
14171000	03-07-2014	3130   	Raw			09-07-2017 18:47
14171000	03-08-2014	2090   	Raw			09-07-2017 18:47
14171000	03-09-2014	2180   	Raw			09-07-2017 18:47
14171000	03-10-2014	1780   	Raw			09-07-2017 18:47
14171000	03-11-2014	1460   	Raw			09-07-2017 18:47
14171000	03-12-2014	1200   	Raw			09-07-2017 18:47
14171000	03-13-2014	1000   	Raw			09-07-2017 18:47
14171000	03-14-2014	869   	Raw			09-07-2017 18:47
14171000	03-15-2014	742   	Raw			09-07-2017 18:47
14171000	03-16-2014	639   	Raw			09-07-2017 18:47
14171000	03-17-2014	676   	Raw			09-07-2017 18:47
