REGION,PVT,PVTto,VEGCLASSfrom,VEGCLASSto,ABBREVfrom,ABBREVto,STARTAGE,ENDAGE,RNDAGE,LAI,CARBON
1,1,1,3756320,3757320,DO:Sc2,DO:Mc2,56,80,70,8.000000,0.000000
1,1,1,3754100,3755210,DO:Yo,DO:Pm1,13,30,30,4.000000,0.000000
1,1,1,3002000,3004100,Oa:GF,Oa:Yo,1,5,2,0.300000,0.000000
1,1,1,3009110,3009110,Oa:Go1,Oa:Go1,191,500,408,6.000000,0.000000
1,1,1,3008110,3009110,Oa:Lo1,Oa:Go1,116,190,184,6.000000,0.000000
1,1,1,3007110,3008110,Oa:Mo1,Oa:Lo1,91,115,110,6.000000,0.000000
1,1,1,3005110,3006110,Oa:Po1,Oa:So1,31,65,41,6.000000,0.000000
1,1,1,3006110,3007110,Oa:So1,Oa:Mo1,66,90,87,6.000000,0.000000
1,1,1,3004100,3005110,Oa:Yo,Oa:Po1,6,30,28,4.000000,0.000000
1,1,1,3258220,3258220,OD:Lm2,OD:Lm2,116,215,139,6.000000,0.000000
1,1,1,3257220,3258220,OD:Mm2,OD:Lm2,91,130,115,6.000000,0.000000
1,1,1,3256220,3257220,OD:Sm2,OD:Mm2,66,105,91,6.000000,0.000000
1,1,1,3158210,3158210,Ow:Lm1,Ow:Lm1,116,500,342,6.000000,0.000000
1,1,1,3157210,3158210,Ow:Mm1,Ow:Lm1,91,130,118,6.000000,0.000000
1,1,1,3155210,3156210,Ow:Pm1,Ow:Sm1,31,75,34,6.000000,0.000000
1,1,1,3156210,3157210,Ow:Sm1,Ow:Mm1,66,105,95,6.000000,0.000000
1,2,2,7052000,7054100,LP:GF,LP:Yo,1,5,1,0.500000,0.000000
1,2,2,7052100,7054100,LP:GFp,LP:Yo,1,5,2,0.500000,0.000000
1,2,2,7055210,7056220,LP:Pm1,LP:Sm2,31,70,63,5.000000,0.000000
1,2,2,7055110,7056110,LP:Po1,LP:So1,31,60,54,5.000000,0.000000
1,2,2,7056220,6055210,LP:Sm2,MH:Pm1,61,90,85,5.000000,0.000000
1,2,2,7056110,7056110,LP:So1,LP:So1,61,90,86,5.000000,0.000000
1,2,2,7054100,7055110,LP:Yo,LP:Po1,1,30,27,3.000000,0.000000
1,2,2,7054400,7054100,LP:Yop,LP:Yo,1,10,8,0.500000,0.000000
1,2,2,6052000,6054100,MH:GF,MH:Yo,1,40,39,4.000000,0.000000
1,2,2,6052100,6054100,MH:GFp,MH:Yo,1,40,40,5.000000,0.000000
1,2,2,6058110,6058110,MH:Lo1,MH:Lo1,152,500,392,5.000000,0.000000
1,2,2,6057220,6058220,MH:Mm2,MH:Lm2,112,161,153,5.000000,0.000000
1,2,2,6057110,6058110,MH:Mo1,MH:Lo1,112,151,114,5.000000,0.000000
1,2,2,6055210,6056220,MH:Pm1,MH:Sm2,41,90,84,5.000000,0.000000
1,2,2,6055110,6056110,MH:Po1,MH:So1,41,80,45,5.000000,0.000000
1,2,2,6056220,6057220,MH:Sm2,MH:Mm2,81,121,121,5.000000,0.000000
1,2,2,6056110,6057110,MH:So1,MH:Mo1,81,111,110,5.000000,0.000000
1,2,2,6054100,6055110,MH:Yo,MH:Po1,1,40,8,4.000000,0.000000
1,2,2,6054400,6052000,MH:Yop,MH:GF,1,10,9,1.000000,0.000000
1,2,2,7658220,7658220,WP:Lm2,WP:Lm2,131,200,170,5.000000,0.000000
1,2,2,7657220,7658220,WP:Mm2,WP:Lm2,91,130,101,5.000000,0.000000
1,3,3,4359410,4359320,SFDF:G1p,SFDF:Gc2,301,335,307,7.000000,0.000000
1,3,3,4359320,4359320,SFDF:Gc2,SFDF:Gc2,301,999,553,7.000000,0.000000
1,3,3,4352000,4354100,SFDF:GF,SFDF:Yo,1,25,4,3.000000,0.000000
1,3,3,4352100,4354400,SFDF:GFp,SFDF:Yop,1,25,5,3.000000,0.000000
1,3,3,4359220,4359220,SFDF:Gm2,SFDF:Gm2,301,325,306,7.000000,0.000000
1,3,3,4358410,4358320,SFDF:L1p,SFDF:Lc2,131,160,147,7.000000,0.000000
1,3,3,4358320,4359320,SFDF:Lc2,SFDF:Gc2,150,300,256,7.000000,0.000000
1,3,3,4358220,4359220,SFDF:Lm2,SFDF:Gm2,131,150,149,7.000000,0.000000
1,3,3,4357410,4357320,SFDF:M1p,SFDF:Mc2,111,131,118,7.000000,0.000000
1,3,3,4357320,4358320,SFDF:Mc2,SFDF:Lc2,111,150,131,7.000000,0.000000
1,3,3,4357220,4358220,SFDF:Mm2,SFDF:Lm2,111,130,112,7.000000,0.000000
1,3,3,4355210,4356320,SFDF:Pm1,SFDF:Sc2,36,70,53,7.000000,0.000000
1,3,3,4356410,4356220,SFDF:S1p,SFDF:Sm2,71,90,74,7.000000,0.000000
1,3,3,4356320,4357320,SFDF:Sc2,SFDF:Mc2,71,110,95,7.000000,0.000000
1,3,3,4356220,4357220,SFDF:Sm2,SFDF:Mm2,71,110,96,7.000000,0.000000
1,3,3,4354100,4355210,SFDF:Yo,SFDF:Pm1,1,35,22,6.000000,0.000000
1,3,3,4354400,4355210,SFDF:Yop,SFDF:Pm1,1,35,23,6.000000,0.000000
1,4,4,3102000,3103300,TO:GF,TO:SHc,1,1,1,0.100000,0.000000
1,4,4,3108320,3108320,TO:Lc2,TO:Lc2,81,500,350,1.000000,0.000000
1,4,4,3107320,3108320,TO:Mc2,TO:Lc2,61,80,71,1.000000,0.000000
1,4,4,3105310,3106320,TO:Pc1,TO:Sc2,21,40,32,1.000000,0.000000
1,4,4,3106320,3107320,TO:Sc2,TO:Mc2,41,60,53,1.000000,0.000000
1,4,4,3103300,3104100,TO:SHc,TO:Yo,1,3,1,0.200000,0.000000
1,4,4,3104100,3105310,TO:Yo,TO:Pc1,4,20,6,1.000000,0.000000
1,5,5,2702000,2704100,BM:GF,BM:Yo,1,2,2,0.100000,0.000000
1,5,5,2708310,2708310,BM:Lc1,BM:Lc1,86,135,112,6.000000,0.000000
1,5,5,2705320,2708310,BM:Pc2,BM:Lc1,61,85,63,6.000000,0.000000
1,5,5,2705210,2706310,BM:Pm1,BM:Sc1,16,35,34,6.000000,0.000000
1,5,5,2706310,2705320,BM:Sc1,BM:Pc2,36,60,40,6.000000,0.000000
1,5,5,2704100,2705210,BM:Yo,BM:Pm1,1,15,11,3.000000,0.000000
1,5,5,4009410,4009210,DF:G1p,DF:Gm1,139,163,145,8.000000,0.000000
1,5,5,4002000,4004100,DF:GF,DF:Yo,1,12,7,0.500000,0.000000
1,5,5,4002100,4004400,DF:GFp,DF:Yop,1,12,8,0.500000,0.000000
1,5,5,4009210,4009210,DF:Gm1,DF:Gm1,139,500,423,8.000000,0.000000
1,5,5,4008410,4009210,DF:L1p,DF:Gm1,79,103,89,8.000000,0.000000
1,5,5,4008210,4009210,DF:Lm1,DF:Gm1,79,138,125,8.000000,0.000000
1,5,5,4007410,4008210,DF:M1p,DF:Lm1,59,78,66,8.000000,0.000000
1,5,5,4007210,4008210,DF:Mm1,DF:Lm1,59,78,67,8.000000,0.000000
1,5,5,4005410,4005210,DF:P1p,DF:Pm1,1,18,2,3.000000,0.000000
1,5,5,4005210,4006210,DF:Pm1,DF:Sm1,19,38,29,8.000000,0.000000
