UGB_DH_ID,UGB_name,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060,pop2065,pop2070,pop2075,pop2080,pop2085,pop2090,pop2095,pop2100
1077,Estacada,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3317.507805,3487.691257,3791.663864,4120.234412,4438.541752,4725.104378,4984.446949,5225.550154,5461.933859,5695.634391,5969.197691,6236.158152,6496.920723,6761.088903,7026.157465,7294.586649,7566.281275,7839.159036,8110.935562
1078,Newberg,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,22653.87894,24067.98869,26577.57116,29418.65336,32183.50859,34727.21609,37060.45888,39256.05942,41407.43485,43865.31481,46310.92863,48706.86702,51057.67677,53393.43048,55734.07726,58099.00856,60528.56777,62946.66793,65353.75738
1079,Yamhill,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1049.950213,1115.490637,1231.803461,1363.480463,1491.624537,1609.518971,1717.658896,1819.419449,1919.13028,2033.046824,2146.394863,2257.44057,2366.39468,2474.650979,2583.13406,2692.742667,2805.346616,2917.419466,3028.981997
1080,not found in 2011 UGB shapefile,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,117.347431,123.367188,134.119357,145.741609,157.000828,167.137169,176.310677,184.839019,193.200422,201.466916,211.143442,220.586411,229.810148,239.154348,248.530397,258.025318,267.635745,277.288022,286.901346
1081,not found in 2011 UGB shapefile,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.66437,0.698451,0.759325,0.825125,0.88887,0.946258,0.998194,1.046478,1.093816,1.140618,1.195402,1.248864,1.301085,1.353987,1.40707,1.460827,1.515237,1.569884,1.62431
1082,Sandy,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8290.494232,8715.784845,9475.416258,10296.51824,11091.97233,11808.09599,12456.19637,13058.71635,13649.44224,14233.46284,14917.10101,15584.2386,16235.88758,16896.04723,17558.45694,18229.26489,18908.23321,19590.15821,20269.33121
1083,Gaston,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,799.501811,859.076222,941.414446,1029.752685,1116.885016,1198.823697,1275.025723,1345.899203,1413.112222,1509.070914,1590.070663,1669.822022,1748.30008,1826.066118,1903.753951,1982.105576,2061.648405,2140.881756,2219.803877
1084,North Plains,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,1967.185991,2119.538482,2318.415321,2528.654441,2736.812107,2933.748807,3117.57947,3288.01819,3448.197392,3689.803927,3885.935872,4079.297333,4269.716397,4458.27572,4646.492908,4836.228048,5028.243958,5219.555037,5410.146497
1085,Banks,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1793.136414,1932.009302,2113.29023,2304.928145,2494.668765,2674.181211,2841.747195,2997.106107,3143.113226,3363.343279,3542.122173,3718.375703,3891.947169,4063.823439,4235.387844,4408.335897,4583.362927,4757.747486,4931.476095
1086,Metro,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1431677.244,1512888.695,1622377.874,1736260.89,1845568.604,1945275.001,2036627.025,2120792.126,2199557.355,2307996.338,2406052.819,2501761.299,2595410.89,2688528.018,2781685.321,2875901.174,2971565.281,3066819.35,3161591.414
1087,Scappoose,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7293.0999,7596.683672,8110.486149,8671.994516,9195.909843,9654.974358,10065.20684,10446.1066,10824.1441,11213.82502,11659.07266,12089.82312,12509.18274,12926.07353,13344.95712,13770.25748,14201.00632,14628.46823,15053.14125
1088,St. Helens,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11453.83132,11930.61038,12737.53843,13619.3887,14442.19901,15163.16096,15807.43208,16405.63609,16999.34491,17611.33976,18310.60226,18987.09692,19645.70223,20300.43025,20958.28796,21626.22321,22302.71534,22974.04532,23640.99534
